Mon. Dec. 23, 2013             LANDSAT 5                 Time: 00:40
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L9540171            Path/Row: 181 / 063

L0R Reference Image: L51JSA1008173080100_HDF.133570630
Acquisition Date: Jun 21, 2008

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
181   063   2002-05-12


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1810630165   -4.870761   16.915393   572.424      -0.099     1.218    -0.274     1.191
1810630168   -4.833308   16.824428   545.395       1.819     1.603     1.567     1.847
1810630169   -4.697358   16.503115   583.367      -0.360    -1.379    -0.158    -1.415
1810630171   -4.977203   16.876480   718.483      -0.895     0.253    -0.922     0.121
1810630173   -5.112434   16.512973   373.275       3.600     3.843     3.006     4.320
1810630174   -3.981580   16.535739   572.040       2.299    -2.210     2.591    -1.855
1810630175   -4.172584   17.013788   558.975       2.915     3.408     2.392     3.790
1810630177   -5.218863   16.885299   635.452       0.185    -6.054     1.056    -5.960
1810630179   -4.278961   15.809764   676.813      -3.463     1.440    -3.629     0.926
1810630180   -4.178232   16.811178   479.234       0.564     1.231     0.380     1.298
1810630184   -4.550550   16.965603   534.169       0.419     2.718     0.022     2.748
1810630187   -4.626073   17.020143   386.536      -0.675     0.683    -0.767     0.578
1810630188   -4.317630   16.299081   662.107      -2.939     1.981    -3.190     1.536
1810630189   -4.734494   16.852556   587.908      -6.820     4.872    -7.447     3.836
1810630192   -4.464600   16.194438   568.949       1.852     1.046     1.681     1.301
1810630193   -4.486761   16.982998   513.100      -2.304     2.705    -2.669     2.343
1810630195   -3.750518   16.633361   522.265      -2.771    -4.148    -2.144    -4.500
1810630196   -5.100567   16.801356   788.081       3.856     2.702     3.422     3.226
1810630198   -4.779136   16.990572   485.894       1.568     1.992     1.263     2.196
1810630199   -4.773601   16.500846   604.144       0.743    -0.291     0.777    -0.181
1810630200   -4.634968   16.498115   560.355       2.992    -0.202     2.987     0.231
1810630202   -4.972038   16.679552   575.769       0.092     0.276     0.051     0.287
1810630203   -4.607271   16.227122   546.815       1.092     1.289     0.894     1.432
1810630204   -4.689268   16.925162   514.269      -1.268    -4.289    -0.636    -4.425
1810630208   -5.001750   17.013949   483.115       2.195     2.891     1.753     3.176
1810630209   -4.855757   16.848827   574.517      -0.540     2.090    -0.836     1.989
1810630212   -4.308643   17.051967   524.532      -2.948    -2.478    -2.560    -2.875
1810630217   -4.730736   17.031527   546.722       1.572    -4.292     2.173    -4.019
1810630223   -5.011919   15.829543   718.927       4.876    -3.919     5.384    -3.170
1810630225   -3.698201   17.233218   321.760      -0.204    -2.511     0.158    -2.514
1810630226   -5.074337   16.444430   687.130       0.538    -3.140     0.984    -3.027
1810630227   -4.577130   16.966215   540.300      -1.917     0.468    -1.964     0.187
1810630228   -3.609343   16.535352   543.366       0.664    -3.722     1.191    -3.586
1810630230   -3.895658   16.635526   611.213       4.132    -1.870     4.355    -1.255
1810630231   -4.618374   15.876394   611.342      -0.562    -5.222     0.197    -5.243
1810630234   -4.378982   16.691113   398.625       1.097     1.198     0.912     1.343
1810630236   -4.982171   17.030116   490.258       1.713     2.916     1.273     3.131
1810630237   -4.605563   16.983323   465.838       1.437    -1.836     1.685    -1.609
1810630240   -3.987596   17.122438   311.429      -3.349    -5.922    -2.462    -6.342
1810630242   -4.835529   16.904748   553.734      -1.103     0.426    -1.153     0.262
1810630243   -5.140245   16.870186   722.612      -6.583    -3.717    -5.973    -4.624
1810630245   -4.067439   16.975437   479.343       0.703     2.970     0.267     3.039
1810630248   -3.760070   17.111071   357.775       1.627    -3.067     2.051    -2.800
1810630249   -4.115036   17.031741   490.170       2.379     1.088     2.196     1.418
1810630250   -5.129557   16.247824   645.482       2.085     0.611     1.973     0.905
1810630251   -3.808525   17.254558   328.155       4.691     1.876     4.371     2.531
1810630252   -4.486294   16.495915   342.864      -4.347     0.796    -4.414     0.161
