==============================================================================
==============================================================================
Mon. Dec. 23 2013                  LANDSAT 7                       Time: 06:48
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101312224682_00025                          Path / Row - 181 / 63
Reference Image: L51JSA1008173080100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.4%
Rank   2 --  4.6%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1810632670   -4.30322     16.59825    -0.05      0.11     0.12     1 
1810632673   -4.30304     16.68257    -0.34      0.15     0.37     1 
1810632674   -4.30298     16.71067     0.03      0.02     0.03     1 
1810632676   -4.30285     16.76688    -0.10     -0.11     0.15     1 
1810632678   -4.30272     16.82309    -0.04      0.14     0.15     1 
1810632679   -4.30265     16.85119    -0.12     -0.02     0.12     1 
1810632680   -4.30258     16.87929     0.27     -0.13     0.30     1 
1810632682   -4.30244     16.93550    -0.03      0.06     0.07     1 
1810632683   -4.30237     16.96360     0.14      0.12     0.18     1 
1810632684   -4.30229     16.99170     0.10      0.08     0.13     1 
1810632685   -4.30222     17.01980     0.12     -0.17     0.20     1 
1810632686   -4.30214     17.04790     0.30     -0.10     0.32     1 
1810632688   -4.30199     17.10409     0.37      0.09     0.38     1 
1810632690   -4.30183     17.16029     0.12      0.10     0.16     1 
1810632712   -4.32957     15.67059    -0.08     -0.35     0.36     1 
1810632722   -4.32927     15.95174    -0.22     -0.07     0.23     1 
1810632723   -4.32924     15.97986     0.07     -0.13     0.14     1 
1810632731   -4.32891     16.20476     0.14     -0.09     0.17     1 
1810632742   -4.32836     16.51398     0.01      0.18     0.18     1 
1810632747   -4.32806     16.65451     0.37     -0.24     0.44     1 
1810632748   -4.32800     16.68262    -0.11      0.02     0.12     1 
1810632753   -4.32767     16.82315    -0.40      0.08     0.41     1 
1810632754   -4.32761     16.85125     0.08      0.05     0.09     1 
1810632755   -4.32754     16.87935    -0.10      0.15     0.18     1 
1810632756   -4.32747     16.90746    -0.19     -0.01     0.19     1 
1810632758   -4.32732     16.96366    -0.13      0.46     0.48     1 
1810632759   -4.32725     16.99176     0.05     -0.23     0.23     1 
1810632760   -4.32717     17.01986    -0.19      0.01     0.19     1 
1810632761   -4.32710     17.04796     0.18     -0.03     0.18     1 
1810632762   -4.32702     17.07606    -0.20     -0.07     0.21     1 
1810632765   -4.32679     17.16036     0.10      0.17     0.20     1 
1810632791   -4.35443     15.78308    -0.05     -0.14     0.15     1 
1810632792   -4.35440     15.81120    -0.12     -0.23     0.26     1 
1810632797   -4.35424     15.95178     0.22     -0.33     0.40     1 
1810632803   -4.35400     16.12046    -0.04     -0.12     0.12     1 
1810632806   -4.35388     16.20480    -0.00     -0.00     0.00     1 
1810632818   -4.35326     16.54214    -0.18      0.12     0.22     1 
1810632822   -4.35302     16.65457     0.04      0.36     0.36     1 
1810632824   -4.35289     16.71078    -0.40     -0.03     0.40     1 
1810632825   -4.35283     16.73889     0.32      0.54     0.63     2 
1810632829   -4.35256     16.85131    -0.08     -0.07     0.11     1 
1810632830   -4.35249     16.87942     0.17     -0.11     0.20     1 
1810632831   -4.35242     16.90752     0.48     -0.12     0.49     1 
1810632833   -4.35228     16.96373     0.17      0.21     0.27     1 
1810632834   -4.35220     16.99183     0.03      0.04     0.05     1 
1810632835   -4.35213     17.01993    -0.01      0.13     0.13     1 
1810632836   -4.35205     17.04803     0.12      0.35     0.37     1 
1810632838   -4.35189     17.10423    -0.03      0.26     0.26     1 
1810632839   -4.35182     17.13233    -0.06      0.03     0.07     1 
1810632840   -4.35174     17.16043     0.30      0.14     0.34     1 
1810632866   -4.37940     15.78311     0.24     -0.29     0.37     1 
1810632871   -4.37924     15.92369     0.13     -0.00     0.13     1 
1810632882   -4.37879     16.23296    -0.24      0.11     0.26     1 
1810632884   -4.37870     16.28918     0.03      0.06     0.07     1 
1810632891   -4.37833     16.48597     0.08      0.13     0.15     1 
1810632892   -4.37828     16.51408     0.17     -0.17     0.24     1 
1810632893   -4.37822     16.54219     0.04     -0.09     0.10     1 
1810632898   -4.37791     16.68273     0.10      0.22     0.24     1 
1810632899   -4.37785     16.71084    -0.10      0.36     0.37     1 
1810632900   -4.37779     16.73895    -0.18      0.39     0.43     1 
1810632903   -4.37759     16.82327     0.48      0.40     0.62     2 
1810632904   -4.37752     16.85137    -0.27      0.14     0.31     1 
1810632906   -4.37737     16.90758    -0.10      0.20     0.23     1 
1810632907   -4.37730     16.93569    -0.25      0.10     0.27     1 
1810632908   -4.37723     16.96379    -0.11     -0.03     0.11     1 
1810632909   -4.37716     16.99189    -0.45      0.39     0.60     2 
1810632910   -4.37708     17.02000     0.20      0.12     0.23     1 
1810632911   -4.37700     17.04810     0.05      0.19     0.19     1 
1810632912   -4.37693     17.07620    -0.06      0.09     0.11     1 
1810632913   -4.37685     17.10430     0.22      0.24     0.32     1 
1810632915   -4.37669     17.16050     0.10      0.09     0.13     1 
1810632935   -4.40452     15.61442     0.02     -0.13     0.13     1 
1810632949   -4.40409     16.00807    -0.09      0.03     0.10     1 
1810632950   -4.40406     16.03619     0.00     -0.22     0.22     1 
1810632956   -4.40380     16.20488    -0.02     -0.12     0.13     1 
1810632966   -4.40329     16.48602    -0.00      0.18     0.18     1 
1810632967   -4.40324     16.51413     0.05      0.01     0.05     1 
1810632968   -4.40318     16.54224    -0.01      0.08     0.08     1 
1810632972   -4.40294     16.65468     0.40      0.15     0.43     1 
1810632974   -4.40281     16.71090     0.04      0.27     0.27     1 
1810632975   -4.40274     16.73900    -0.31     -0.11     0.33     1 
1810632977   -4.40261     16.79522    -0.38     -0.05     0.39     1 
1810632980   -4.40240     16.87954    -0.18     -0.37     0.41     1 
1810632981   -4.40233     16.90765    -0.53      0.07     0.54     2 
1810632982   -4.40226     16.93575     0.01      0.36     0.36     1 
1810632983   -4.40218     16.96385    -0.08      0.45     0.46     1 
1810632984   -4.40211     16.99196    -0.24      0.33     0.41     1 
1810632985   -4.40203     17.02006    -0.07      0.48     0.49     1 
1810632986   -4.40196     17.04817     0.14      0.54     0.56     2 
1810632987   -4.40188     17.07627     0.02      0.25     0.26     1 
1810632988   -4.40180     17.10437     0.07     -0.02     0.08     1 
1810632989   -4.40172     17.13247     0.06     -0.05     0.07     1 
1810633013   -4.42942     15.69880    -0.07     -0.18     0.19     1 
1810633018   -4.42927     15.83940    -0.02      0.04     0.04     1 
1810633025   -4.42902     16.03622    -0.12     -0.08     0.14     1 
1810633035   -4.42857     16.31739    -0.35     -0.37     0.51     2 
1810633036   -4.42852     16.34550    -0.06     -0.04     0.07     1 
1810633041   -4.42825     16.48607     0.32     -0.07     0.33     1 
1810633042   -4.42820     16.51418    -0.16     -0.32     0.36     1 
1810633048   -4.42783     16.68285     0.19      0.01     0.19     1 
1810633049   -4.42777     16.71095    -0.15     -0.15     0.21     1 
1810633050   -4.42770     16.73906    -0.03      0.14     0.14     1 
1810633053   -4.42750     16.82339     0.18      0.31     0.36     1 
1810633055   -4.42736     16.87960     0.04      0.04     0.06     1 
1810633056   -4.42729     16.90771    -0.30     -0.04     0.31     1 
1810633060   -4.42699     17.02013     0.44     -0.26     0.51     2 
1810633061   -4.42691     17.04823    -0.22      0.27     0.35     1 
1810633062   -4.42683     17.07634     0.11      0.38     0.40     1 
1810633063   -4.42675     17.10444     0.04      0.26     0.26     1 
1810633064   -4.42667     17.13254     0.09      0.23     0.25     1 
1810633087   -4.45441     15.67070    -0.30     -0.23     0.38     1 
1810633106   -4.45373     16.20496     0.24      0.03     0.24     1 
1810633107   -4.45368     16.23308    -0.06     -0.17     0.18     1 
1810633111   -4.45348     16.34554    -0.19     -0.22     0.29     1 
1810633115   -4.45327     16.45800    -0.04      0.07     0.08     1 
1810633116   -4.45321     16.48612    -0.03     -0.33     0.33     1 
1810633120   -4.45298     16.59857     0.12     -0.59     0.60     2 
1810633122   -4.45285     16.65479    -0.02      0.08     0.09     1 
1810633123   -4.45279     16.68290    -0.07      0.35     0.35     1 
1810633124   -4.45273     16.71101    -0.44      0.24     0.50     1 
1810633125   -4.45266     16.73912    -0.18      0.11     0.21     1 
1810633129   -4.45238     16.85156    -0.12      0.18     0.22     1 
1810633130   -4.45231     16.87967     0.07      0.14     0.16     1 
1810633132   -4.45217     16.93588    -0.00     -0.15     0.15     1 
1810633133   -4.45209     16.96399    -0.01      0.29     0.29     1 
1810633135   -4.45194     17.02020    -0.04      0.03     0.05     1 
1810633136   -4.45186     17.04830     0.17     -0.22     0.28     1 
1810633138   -4.45170     17.10451     0.17     -0.09     0.19     1 
1810633139   -4.45162     17.13262     0.14      0.22     0.26     1 
1810633168   -4.47920     15.83945    -0.31     -0.40     0.50     1 
1810633169   -4.47917     15.86757     0.12     -0.05     0.13     1 
1810633170   -4.47914     15.89569     0.17      0.05     0.17     1 
1810633171   -4.47910     15.92381    -0.00     -0.04     0.04     1 
1810633173   -4.47903     15.98006     0.13     -0.23     0.26     1 
1810633176   -4.47891     16.06441     0.01     -0.14     0.14     1 
1810633180   -4.47874     16.17689    -0.25     -0.48     0.54     2 
1810633181   -4.47869     16.20500     0.06      0.08     0.10     1 
1810633182   -4.47865     16.23312    -0.39     -0.19     0.43     1 
1810633190   -4.47823     16.45805    -0.53      0.21     0.57     2 
1810633191   -4.47818     16.48617    -0.05     -0.04     0.07     1 
1810633192   -4.47812     16.51428     0.04      0.00     0.04     1 
1810633197   -4.47781     16.65485    -0.14      0.08     0.16     1 
1810633199   -4.47768     16.71107    -0.35      0.47     0.59     2 
1810633209   -4.47697     16.99216    -0.02      0.20     0.20     1 
1810633210   -4.47689     17.02027     0.04     -0.04     0.06     1 
1810633213   -4.47666     17.10458     0.01      0.12     0.12     1 
1810633214   -4.47658     17.13269    -0.07      0.12     0.13     1 
1810633242   -4.50420     15.81136     0.10      0.14     0.17     1 
1810633248   -4.50399     15.98009    -0.53     -0.07     0.53     2 
1810633251   -4.50388     16.06445    -0.14      0.06     0.15     1 
1810633254   -4.50375     16.14881     0.13      0.07     0.14     1 
1810633256   -4.50366     16.20505    -0.09     -0.40     0.42     1 
1810633265   -4.50319     16.45810    -0.04     -0.26     0.26     1 
1810633266   -4.50314     16.48622     0.10      0.19     0.21     1 
1810633268   -4.50302     16.54245    -0.49     -0.17     0.52     2 
1810633272   -4.50277     16.65490    -0.24     -0.23     0.34     1 
1810633273   -4.50271     16.68302    -0.09      0.10     0.14     1 
1810633275   -4.50257     16.73924     0.06      0.03     0.07     1 
1810633276   -4.50251     16.76735    -0.40      0.17     0.43     1 
1810633278   -4.50237     16.82357     0.44      0.32     0.55     2 
1810633281   -4.50215     16.90790    -0.25     -0.26     0.36     1 
1810633282   -4.50208     16.93601    -0.19      0.08     0.21     1 
1810633283   -4.50200     16.96412     0.05     -0.09     0.10     1 
1810633284   -4.50192     16.99223    -0.15      0.08     0.17     1 
1810633285   -4.50185     17.02034     0.11      0.21     0.24     1 
1810633286   -4.50177     17.04844    -0.12      0.18     0.21     1 
1810633287   -4.50169     17.07655     0.04     -0.16     0.17     1 
1810633288   -4.50161     17.10466     0.23      0.25     0.34     1 
1810633289   -4.50153     17.13276     0.13      0.27     0.30     1 
1810633317   -4.52917     15.81139    -0.06     -0.09     0.11     1 
1810633318   -4.52914     15.83951    -0.04     -0.29     0.29     1 
1810633319   -4.52910     15.86763    -0.03     -0.03     0.04     1 
1810633322   -4.52900     15.95200    -0.10      0.04     0.11     1 
1810633323   -4.52896     15.98012     0.15      0.22     0.27     1 
1810633325   -4.52888     16.03636     0.02     -0.05     0.05     1 
1810633326   -4.52884     16.06449     0.08      0.02     0.08     1 
1810633329   -4.52871     16.14885    -0.10      0.04     0.11     1 
1810633331   -4.52862     16.20509    -0.39      0.08     0.40     1 
1810633336   -4.52837     16.34568    -0.09      0.11     0.14     1 
1810633341   -4.52810     16.48627    -0.20      0.15     0.25     1 
1810633346   -4.52779     16.62684     0.03      0.18     0.18     1 
1810633351   -4.52746     16.76741    -0.29      0.13     0.32     1 
1810633352   -4.52739     16.79552    -0.24     -0.08     0.25     1 
1810633356   -4.52711     16.90797    -0.39     -0.21     0.44     1 
1810633357   -4.52703     16.93608    -0.18      0.03     0.18     1 
1810633358   -4.52696     16.96419     0.02      0.13     0.14     1 
1810633359   -4.52688     16.99230    -0.11     -0.01     0.11     1 
1810633360   -4.52680     17.02041    -0.17      0.13     0.21     1 
1810633361   -4.52672     17.04851     0.10     -0.04     0.10     1 
1810633362   -4.52664     17.07662    -0.31      0.18     0.36     1 
1810633363   -4.52656     17.10473    -0.03      0.05     0.05     1 
1810633392   -4.55414     15.81142     0.04      0.06     0.08     1 
1810633393   -4.55410     15.83954     0.32      0.05     0.32     1 
1810633396   -4.55400     15.92391     0.05     -0.00     0.05     1 
1810633397   -4.55396     15.95203     0.14     -0.08     0.16     1 
1810633401   -4.55380     16.06452    -0.38     -0.13     0.40     1 
1810633406   -4.55358     16.20513    -0.47     -0.24     0.52     2 
1810633410   -4.55339     16.31761     0.15     -0.27     0.31     1 
1810633415   -4.55311     16.45820     0.01     -0.03     0.03     1 
1810633416   -4.55306     16.48632    -0.02     -0.06     0.06     1 
1810633417   -4.55300     16.51444    -0.21     -0.09     0.23     1 
1810633425   -4.55249     16.73936    -0.19      0.32     0.37     1 
1810633426   -4.55242     16.76747     0.52      0.23     0.57     2 
1810633428   -4.55228     16.82370    -0.02     -0.00     0.02     1 
1810633430   -4.55213     16.87992    -0.25      0.16     0.30     1 
1810633431   -4.55206     16.90803     0.00      0.14     0.14     1 
1810633432   -4.55199     16.93614    -0.33      0.28     0.43     1 
1810633433   -4.55191     16.96426    -0.08      0.11     0.14     1 
1810633434   -4.55183     16.99236    -0.01      0.13     0.13     1 
1810633435   -4.55175     17.02047     0.01      0.04     0.04     1 
1810633436   -4.55168     17.04858     0.20      0.18     0.27     1 
1810633437   -4.55159     17.07669     0.01      0.26     0.26     1 
1810633438   -4.55151     17.10480     0.11      0.42     0.43     1 
1810633466   -4.57913     15.78332    -0.01      0.07     0.07     1 
1810633468   -4.57907     15.83957     0.09     -0.20     0.22     1 
1810633471   -4.57897     15.92394    -0.13     -0.18     0.22     1 
1810633472   -4.57893     15.95206    -0.12     -0.03     0.13     1 
1810633476   -4.57877     16.06456    -0.05     -0.04     0.06     1 
1810633487   -4.57824     16.37389    -0.09     -0.09     0.13     1 
1810633488   -4.57819     16.40201    -0.24      0.18     0.29     1 
1810633490   -4.57808     16.45825    -0.19     -0.32     0.37     1 
1810633491   -4.57802     16.48637    -0.01      0.08     0.08     1 
1810633492   -4.57796     16.51449    -0.12      0.02     0.12     1 
1810633493   -4.57790     16.54261    -0.16     -0.19     0.25     1 
1810633500   -4.57745     16.73942     0.08      0.03     0.08     1 
1810633501   -4.57738     16.76753    -0.31      0.18     0.36     1 
1810633502   -4.57731     16.79565    -0.08      0.12     0.14     1 
1810633509   -4.57679     16.99243     0.06      0.19     0.20     1 
1810633510   -4.57671     17.02054     0.05      0.14     0.15     1 
1810633511   -4.57663     17.04865     0.07      0.39     0.39     1 
1810633512   -4.57655     17.07676    -0.07      0.02     0.07     1 
1810633513   -4.57646     17.10487    -0.02      0.18     0.18     1 
1810633542   -4.60407     15.81147    -0.00     -0.38     0.38     1 
1810633547   -4.60389     15.95210    -0.04      0.02     0.04     1 
1810633550   -4.60378     16.03647     0.09      0.17     0.19     1 
1810633551   -4.60373     16.06460     0.06      0.04     0.07     1 
1810633554   -4.60360     16.14897    -0.09     -0.15     0.18     1 
1810633557   -4.60346     16.23334    -0.26      0.11     0.28     1 
1810633559   -4.60336     16.28958    -0.19     -0.06     0.20     1 
1810633562   -4.60320     16.37394     0.33      0.24     0.41     1 
1810633564   -4.60309     16.43018     0.17      0.24     0.29     1 
1810633565   -4.60304     16.45830    -0.32      0.19     0.37     1 
1810633566   -4.60298     16.48642    -0.02      0.02     0.03     1 
1810633575   -4.60240     16.73948     0.07     -0.06     0.10     1 
1810633580   -4.60205     16.88005     0.06      0.10     0.11     1 
1810633581   -4.60197     16.90817    -0.05      0.15     0.15     1 
1810633582   -4.60190     16.93628     0.14      0.36     0.39     1 
1810633583   -4.60182     16.96439     0.03      0.13     0.13     1 
1810633584   -4.60174     16.99250    -0.05      0.09     0.10     1 
1810633585   -4.60166     17.02061    -0.02      0.09     0.09     1 
1810633586   -4.60158     17.04873     0.02      0.18     0.18     1 
1810633617   -4.62903     15.81150    -0.26      0.07     0.27     1 
1810633619   -4.62897     15.86775    -0.07     -0.09     0.11     1 
1810633620   -4.62893     15.89588     0.23      0.12     0.26     1 
1810633625   -4.62874     16.03651    -0.05     -0.01     0.05     1 
1810633626   -4.62870     16.06463    -0.10     -0.01     0.11     1 
1810633630   -4.62852     16.17713    -0.10     -0.23     0.25     1 
1810633632   -4.62843     16.23338    -0.14     -0.33     0.36     1 
1810633637   -4.62817     16.37399     0.10      0.07     0.13     1 
1810633642   -4.62788     16.51459    -0.12      0.04     0.13     1 
1810633643   -4.62782     16.54271    -0.03     -0.06     0.07     1 
1810633649   -4.62743     16.71142     0.26      0.15     0.30     1 
1810633650   -4.62736     16.73954     0.06      0.18     0.19     1 
1810633651   -4.62729     16.76766    -0.11      0.46     0.48     1 
1810633652   -4.62722     16.79577    -0.31      0.52     0.60     2 
1810633653   -4.62715     16.82389    -0.01     -0.19     0.19     1 
1810633654   -4.62708     16.85200     0.33     -0.20     0.38     1 
1810633655   -4.62700     16.88012    -0.13     -0.11     0.17     1 
1810633656   -4.62693     16.90823    -0.07     -0.01     0.07     1 
1810633657   -4.62685     16.93635     0.02      0.20     0.21     1 
1810633658   -4.62677     16.96446     0.14      0.06     0.15     1 
1810633659   -4.62669     16.99257    -0.01      0.16     0.16     1 
1810633660   -4.62661     17.02069     0.07      0.10     0.12     1 
1810633661   -4.62653     17.04880    -0.05     -0.04     0.06     1 
1810633662   -4.62645     17.07691     0.04      0.29     0.30     1 
1810633663   -4.62637     17.10502     0.10      0.14     0.17     1 
1810633694   -4.65393     15.86778    -0.12     -0.12     0.17     1 
1810633697   -4.65383     15.95217    -0.16     -0.13     0.21     1 
1810633699   -4.65375     16.00842    -0.06     -0.06     0.08     1 
1810633700   -4.65371     16.03655    -0.27     -0.20     0.33     1 
1810633703   -4.65358     16.12092    -0.10      0.00     0.10     1 
1810633705   -4.65348     16.17717     0.03      0.08     0.09     1 
1810633708   -4.65334     16.26155     0.20     -0.23     0.30     1 
1810633714   -4.65301     16.43028    -0.19     -0.13     0.23     1 
1810633716   -4.65290     16.48653    -0.12     -0.10     0.15     1 
1810633717   -4.65284     16.51465     0.01      0.04     0.04     1 
1810633718   -4.65278     16.54277    -0.03     -0.11     0.11     1 
1810633719   -4.65272     16.57089    -0.16      0.05     0.17     1 
1810633723   -4.65246     16.68336    -0.53     -0.18     0.56     2 
1810633724   -4.65239     16.71148     0.15      0.15     0.21     1 
1810633725   -4.65232     16.73960     0.14     -0.27     0.30     1 
1810633726   -4.65225     16.76772    -0.15      0.38     0.41     1 
1810633728   -4.65210     16.82395     0.12      0.40     0.41     1 
1810633731   -4.65188     16.90830     0.19      0.54     0.57     2 
1810633732   -4.65180     16.93641     0.03      0.35     0.35     1 
1810633733   -4.65173     16.96453     0.14      0.41     0.44     1 
1810633734   -4.65165     16.99264     0.03      0.21     0.21     1 
1810633735   -4.65157     17.02076     0.11     -0.05     0.12     1 
1810633736   -4.65149     17.04887     0.05      0.08     0.09     1 
1810633737   -4.65140     17.07698    -0.00      0.06     0.06     1 
1810633738   -4.65132     17.10509    -0.38      0.20     0.43     1 
1810633770   -4.67886     15.89594    -0.23      0.25     0.34     1 
1810633771   -4.67883     15.92407     0.07      0.01     0.07     1 
1810633772   -4.67879     15.95220    -0.01      0.00     0.01     1 
1810633773   -4.67875     15.98033     0.01      0.08     0.08     1 
1810633774   -4.67871     16.00845    -0.04     -0.08     0.09     1 
1810633780   -4.67845     16.17721     0.09      0.10     0.14     1 
1810633781   -4.67840     16.20534     0.04      0.01     0.04     1 
1810633783   -4.67830     16.26159    -0.10     -0.10     0.15     1 
1810633784   -4.67825     16.28972    -0.50      0.17     0.53     2 
1810633787   -4.67809     16.37409     0.29      0.04     0.29     1 
1810633791   -4.67786     16.48658     0.22      0.12     0.25     1 
1810633792   -4.67780     16.51470    -0.10     -0.06     0.12     1 
1810633793   -4.67774     16.54282    -0.10     -0.01     0.10     1 
1810633794   -4.67767     16.57094    -0.24     -0.27     0.36     1 
1810633798   -4.67741     16.68342     0.38      0.29     0.48     1 
1810633800   -4.67728     16.73966     0.14     -0.10     0.17     1 
1810633803   -4.67706     16.82402     0.06      0.05     0.08     1 
1810633804   -4.67699     16.85213     0.07      0.07     0.10     1 
1810633805   -4.67691     16.88025     0.35     -0.04     0.35     1 
1810633806   -4.67684     16.90837     0.21      0.14     0.25     1 
1810633807   -4.67676     16.93648    -0.04      0.11     0.12     1 
1810633808   -4.67668     16.96460     0.12      0.33     0.35     1 
1810633809   -4.67660     16.99271     0.11      0.40     0.42     1 
1810633810   -4.67652     17.02083     0.18      0.56     0.59     2 
1810633812   -4.67636     17.07705     0.08      0.37     0.38     1 
1810633845   -4.70383     15.89597    -0.48      0.26     0.55     2 
1810633847   -4.70376     15.95223    -0.07     -0.08     0.11     1 
1810633848   -4.70372     15.98036    -0.12      0.12     0.17     1 
1810633855   -4.70341     16.17726    -0.18     -0.07     0.19     1 
1810633857   -4.70331     16.23351    -0.01      0.13     0.13     1 
1810633858   -4.70326     16.26163     0.04      0.00     0.04     1 
1810633859   -4.70321     16.28976     0.09     -0.34     0.35     1 
1810633861   -4.70311     16.34601     0.03      0.07     0.08     1 
1810633866   -4.70282     16.48663    -0.03      0.05     0.06     1 
1810633867   -4.70276     16.51475    -0.00     -0.02     0.02     1 
1810633868   -4.70270     16.54288    -0.05      0.04     0.06     1 
1810633869   -4.70263     16.57100    -0.27      0.22     0.35     1 
1810633870   -4.70257     16.59912    -0.31      0.19     0.36     1 
1810633873   -4.70237     16.68348    -0.27     -0.06     0.28     1 
1810633874   -4.70230     16.71160    -0.14      0.15     0.21     1 
1810633875   -4.70223     16.73972     0.22      0.12     0.26     1 
1810633876   -4.70216     16.76784    -0.04      0.07     0.08     1 
1810633877   -4.70209     16.79596     0.08      0.06     0.10     1 
1810633879   -4.70194     16.85220    -0.00     -0.03     0.03     1 
1810633880   -4.70187     16.88032     0.08      0.06     0.10     1 
1810633881   -4.70179     16.90844    -0.03      0.37     0.37     1 
1810633882   -4.70171     16.93655     0.07      0.09     0.11     1 
1810633883   -4.70163     16.96467    -0.01      0.07     0.07     1 
1810633884   -4.70155     16.99278     0.04      0.22     0.22     1 
1810633885   -4.70147     17.02090    -0.04      0.18     0.19     1 
1810633886   -4.70139     17.04901    -0.01      0.21     0.21     1 
1810633887   -4.70131     17.07713    -0.18      0.15     0.23     1 
1810633918   -4.72887     15.83975     0.19     -0.53     0.56     2 
1810633930   -4.72837     16.17730    -0.08      0.13     0.15     1 
1810633931   -4.72833     16.20543    -0.28      0.11     0.30     1 
1810633932   -4.72828     16.23355    -0.03      0.05     0.06     1 
1810633935   -4.72812     16.31793    -0.12      0.05     0.13     1 
1810633939   -4.72790     16.43043    -0.04     -0.12     0.13     1 
1810633941   -4.72778     16.48668    -0.02     -0.14     0.14     1 
1810633942   -4.72772     16.51481     0.07     -0.07     0.09     1 
1810633944   -4.72759     16.57106    -0.17      0.04     0.17     1 
1810633949   -4.72726     16.71167     0.03     -0.19     0.19     1 
1810633950   -4.72719     16.73979    -0.09      0.14     0.17     1 
1810633951   -4.72712     16.76791    -0.14      0.34     0.37     1 
1810633952   -4.72705     16.79603     0.34      0.20     0.39     1 
1810633954   -4.72690     16.85227    -0.09     -0.00     0.09     1 
1810633955   -4.72682     16.88039    -0.05      0.42     0.42     1 
1810633956   -4.72675     16.90850     0.01      0.17     0.17     1 
1810633957   -4.72667     16.93662     0.09      0.19     0.21     1 
1810633958   -4.72659     16.96474     0.14      0.28     0.31     1 
1810633959   -4.72651     16.99285    -0.37      0.42     0.56     2 
1810633960   -4.72643     17.02097     0.22     -0.26     0.34     1 
1810633961   -4.72635     17.04909    -0.07      0.04     0.09     1 
1810633962   -4.72626     17.07720     0.06      0.14     0.15     1 
1810634003   -4.75343     16.12108    -0.09      0.09     0.13     1 
1810634006   -4.75329     16.20547    -0.08     -0.04     0.09     1 
1810634007   -4.75324     16.23360    -0.18      0.15     0.23     1 
1810634008   -4.75319     16.26172    -0.20     -0.08     0.21     1 
1810634010   -4.75308     16.31798     0.21      0.16     0.26     1 
1810634015   -4.75280     16.45861     0.39      0.04     0.39     1 
1810634016   -4.75274     16.48674    -0.31      0.13     0.34     1 
1810634017   -4.75268     16.51486     0.07      0.05     0.09     1 
1810634018   -4.75262     16.54299     0.05      0.19     0.20     1 
1810634019   -4.75255     16.57111    -0.06      0.05     0.07     1 
1810634023   -4.75229     16.68361    -0.22     -0.36     0.42     1 
1810634024   -4.75222     16.71173    -0.32      0.12     0.34     1 
1810634025   -4.75215     16.73985    -0.13      0.44     0.46     1 
1810634026   -4.75208     16.76797     0.57      0.13     0.58     2 
1810634028   -4.75193     16.82421    -0.00      0.06     0.06     1 
1810634029   -4.75185     16.85233     0.19      0.42     0.46     1 
1810634030   -4.75178     16.88045    -0.05      0.12     0.13     1 
1810634031   -4.75170     16.90857    -0.07     -0.00     0.07     1 
1810634032   -4.75162     16.93669    -0.18      0.29     0.34     1 
1810634033   -4.75154     16.96481    -0.02      0.30     0.30     1 
1810634034   -4.75146     16.99293     0.11      0.26     0.28     1 
1810634035   -4.75138     17.02104     0.06      0.16     0.18     1 
1810634036   -4.75130     17.04916     0.06      0.03     0.07     1 
1810634037   -4.75121     17.07728    -0.04      0.12     0.13     1 
1810634082   -4.77820     16.23364     0.02     -0.04     0.05     1 
1810634083   -4.77815     16.26177    -0.00      0.05     0.05     1 
1810634085   -4.77805     16.31803    -0.07      0.14     0.16     1 
1810634091   -4.77770     16.48679    -0.08     -0.10     0.13     1 
1810634092   -4.77764     16.51492    -0.14      0.12     0.18     1 
1810634093   -4.77758     16.54304     0.10      0.22     0.24     1 
1810634094   -4.77751     16.57117    -0.12      0.09     0.15     1 
1810634095   -4.77745     16.59929    -0.39     -0.47     0.61     2 
1810634098   -4.77725     16.68367     0.15     -0.25     0.30     1 
1810634099   -4.77718     16.71179    -0.06      0.01     0.06     1 
1810634100   -4.77710     16.73991     0.07      0.06     0.09     1 
1810634101   -4.77703     16.76803     0.00     -0.14     0.14     1 
1810634102   -4.77696     16.79616    -0.04      0.02     0.05     1 
1810634103   -4.77689     16.82428    -0.52      0.01     0.52     2 
1810634104   -4.77681     16.85240    -0.06      0.23     0.23     1 
1810634105   -4.77673     16.88052     0.07      0.21     0.22     1 
1810634106   -4.77666     16.90864     0.14     -0.09     0.17     1 
1810634107   -4.77658     16.93676     0.11      0.14     0.17     1 
1810634108   -4.77650     16.96488     0.06      0.00     0.06     1 
1810634109   -4.77642     16.99300    -0.12     -0.16     0.20     1 
1810634110   -4.77633     17.02112    -0.03     -0.17     0.17     1 
1810634111   -4.77625     17.04923    -0.19     -0.02     0.19     1 
1810634153   -4.80336     16.12116    -0.07      0.05     0.09     1 
1810634154   -4.80331     16.14929     0.00      0.20     0.20     1 
1810634155   -4.80327     16.17742    -0.33      0.19     0.38     1 
